OBS.      X1          X2
   1    -11.7248      4.1784
   2     -8.6635      2.6080
   3    -15.2697      5.9249
   4    -15.9966      5.6854
   5    -11.1121      3.2958
   6     -7.3282      .75382
   7     -4.5203     -.59610
   8     -5.4542     -.49739
   9     -5.9189     -.18333
  10     -7.2254      .38964
  11     -8.0416      .29156
  12     -4.0501     -2.4262
  13     -3.2894     -3.4502
  14     -.28942     -5.8307
  15      .93866     -6.4749
  16     -1.9986     -4.9246
  17     -1.4325     -5.1217
  18    -.081770     -6.2968
  19     -1.1202     -5.2932
  20     -2.4358     -5.0858
  21     -3.1023     -5.1680
  22     -2.1002     -5.3049
  23     -4.0312     -4.8099
  24     -3.5706     -5.1009
  25     -4.4211     -4.6006
  26     -4.5054     -4.3947
  27     -1.6448     -5.4330
  28     -.29814     -6.3911
  29     -3.6332     -3.7909
  30     -6.2031     -2.0686
  31     -8.1085     -.26819
  32     -8.5474      .24243
  33    -10.7823      2.3735
  34    -10.9777      2.5977
  35    -13.3240      3.3241
  36    -14.5903      4.1325
  37     -9.7365      1.8622
  38     -8.7878      1.3871
  39     -6.4025     .053746
  40     -7.6399    -.094150
  41     -4.4977     -1.3956
  42      .49050     -4.0579
  43     -.31669     -3.3054
  44      .99807     -3.2871
  45     -1.0986     -1.9811
  46     -.28366     -3.1041
  47     -1.7911     -2.6001
  48     -3.8723     -1.1342
  49     -.82735     -2.9790
  50      3.0459     -5.5504
  51     -1.4339     -2.8740
  52     -1.2217     -2.9865
  53     -.55434     -3.6946
  54     -4.9578     -.96774
  55    -10.1478      1.9164
  56     -8.7041      1.3417
  57     -7.2905      .51261
  58     -6.1652     -.27717
  59     -6.4486     -.45462
  60    -10.9342      2.9143
  61    -15.8498      5.5178
  62    -18.5675      7.5998
  63    -17.2869      7.4650
  64    -14.8843      5.9280
  65    -15.3305      5.4300
  66    -16.2986      5.7216
  67    -20.6344      8.6987
  68    -18.9883      7.4006
  69    -20.0415      6.5954
  70    -19.8348      5.7672
  71    -22.7347      7.4731
  72    -22.6094      6.8115
  73    -19.1792      4.5685
  74    -19.5832      5.3309
  75    -18.0475      4.1384
  76    -20.4573      5.7599
  77    -19.6715      4.7058
  78    -21.3097      5.1308
  79    -20.3549      4.4743
  80    -21.5570      5.3230
  81    -23.5944      6.1032
  82    -22.9558      5.2191
  83    -22.9065      5.1081
  84    -23.6938      5.6867
  85    -22.7327      5.3574
  86    -22.1455      4.2714
  87    -21.1417      3.5246
  88    -21.0399      3.3988
  89    -21.5144      3.1779
  90    -19.8636      2.5223
  91    -20.8320      4.2089
  92    -20.5213      4.2020
  93    -18.0850      2.4750
  94    -17.2327      1.1089
  95    -18.3631    -.074534
  96    -21.5172      1.9386
  97    -18.7349     .034214
  98    -19.0367      .60074
  99    -14.4500     -2.2370
 100    -15.6843     -1.1546
 101    -18.4582      .86875
 102    -19.7314      .62487
 103    -19.0575     -.19203
 104    -17.8996     -.35948
 105    -19.1537      .13157
 106    -16.7564     -1.7193
 107    -20.9897      .43973
 108    -22.9611      .44249
 109    -24.3731      1.8147
 110    -22.3178      .14819
 111    -22.4044     .015461
 112    -23.6173      1.4865
 113    -22.5230      1.4099
 114    -22.8233      1.1811
 115    -24.5298      1.9004
 116    -27.9999      3.7675
 117    -33.1538      7.0523
 118    -30.5109      5.7486
 119    -29.0051      4.1812
 120    -29.6615      4.8043
 121    -25.8606      2.7008
 122    -24.4038      1.9383
 123    -24.7817      1.8225
 124    -30.1317      4.9849
 125    -30.0517      4.7731
 126    -27.3279      3.2389
 127    -29.9076      4.9098
 128    -29.7642      4.5288
 129    -28.2597      4.7127
 130    -27.8735      4.4884
 131    -29.3559      5.8836
 132    -31.7159      6.6121
 133    -31.0784      6.6318
 134    -31.2056      6.2087
 135    -33.7873      6.5871
 136    -37.0986      8.6298
 137    -38.0988      9.7696
 138    -39.4680     10.2774
 139    -38.1829      8.4868
 140    -39.0342      8.8109
 141    -38.0240      7.7189
 142    -38.4285      7.6233
 143    -38.8521      8.3674
 144    -37.9277      7.6851
 145    -36.6591      7.4212
 146    -37.9358      7.7905
 147    -40.7701      9.1803
 148    -41.9206     10.4456
 149    -44.3244     12.0560
 150    -42.0527     11.1856
 151    -43.9349     12.1257
 152    -42.6532     11.4000
 153    -43.5512     12.3181
 154    -46.2994     15.1077
 155    -44.9409     14.7574
 156    -44.4938     14.3426
 157    -47.1379     15.5689
 158    -50.1885     17.1714
 159    -49.4626     16.9260
 160    -51.3368     18.9033
 161    -54.1386     20.1090
 162    -55.3044     20.6566
